idSPE;idMVS;SPE;MVS;SPE-MVS;WKT
1;1;ASL 01;MVS1;ASL01-MVS1;Polygon ((-37.053293232 -5.60554172499997,-37.053290298 -5.60690192499999,-37.053285491 -5.60835191999996,-37.053939699 -5.60835409699996,-37.054980731 -5.60806684699998,-37.054984033 -5.60706999899998,-37.056310624 -5.60707440799996,-37.056313476 -5.606212809,-37.057388774 -5.60621637999998,-37.05699323 -5.60592959099995,-37.055913167 -5.60514648999998,-37.054969478 -5.60446226399995,-37.0549661639999 -5.60554728699998,-37.054853776 -5.605546914,-37.053293232 -5.60554172499997))
1;2;ASL 01;MVS2;ASL01-MVS2;Polygon ((-37.053133051 -5.60313074599998,-37.051085384 -5.60164605699998,-37.05108175 -5.60274217199998,-37.051081306 -5.60287615099998,-37.050651754 -5.60287472099998,-37.050642935 -5.60553290299998,-37.050706851 -5.605533116,-37.050697524 -5.60834330199998,-37.053285491 -5.60835191999996,-37.053293232 -5.60554172499997,-37.054966166 -5.60554685699998,-37.054969478 -5.60446226399995,-37.054257901 -5.60394632999999,-37.053133051 -5.60313074599998))
1;3;ASL 01;MVS3;ASL01-MVS3;Polygon ((-37.050651754 -5.60287472099998,-37.048062354 -5.60286609499997,-37.048053523 -5.60552427299996,-37.048044559 -5.60822145599997,-37.049708723 -5.60822700699998,-37.049989257 -5.60834094099999,-37.050697524 -5.60834330199998,-37.050706851 -5.605533116,-37.050642935 -5.60553290299998,-37.050651754 -5.60287472099998))
1;4;ASL 01;MVS4;ASL01-MVS4;Polygon ((-37.049989257 -5.60834094099999,-37.049708723 -5.60822700699998,-37.048044559 -5.60822145599997,-37.048053523 -5.60552427299996,-37.045021906 -5.60551415399999,-37.045008103 -5.60965988599997,-37.045436247 -5.609739924,-37.048874051 -5.60975140299996,-37.04998559 -5.60944478499999,-37.049989257 -5.60834094099999))
1;5;ASL 01;MVS5;ASL01-MVS5;Polygon ((-37.045021906 -5.60551415399999,-37.041974456 -5.60550396599996,-37.041863832 -5.605503054,-37.042056438 -5.60866654499995,-37.042111526 -5.60960739999996,-37.042199519 -5.61101665899997,-37.044262158 -5.61102356199996,-37.0454330479999 -5.61070058399997,-37.045436247 -5.609739924,-37.045008103 -5.60965988599997,-37.045021906 -5.60551415399999))
2;1;ASL 02;MVS1;ASL02-MVS1;Polygon ((-37.038092274 -5.61331810599995,-37.037665478 -5.61316572099997,-37.037669852 -5.61185797299999,-37.03534735 -5.61185017199995,-37.035294323 -5.61185049299996,-37.035327787 -5.61234269899995,-37.035373737 -5.61301850899997,-37.035408052 -5.61352321599998,-37.035443863 -5.61404991499995,-37.035474769 -5.61450447099998,-37.035485959 -5.614669064,-37.036437415 -5.61466568699996,-37.037046355 -5.61466352299999,-37.037700128 -5.61466120099999,-37.038087786 -5.614659824,-37.038092274 -5.61331810599995))
2;2;ASL 02;MVS2;ASL02-MVS2;Polygon ((-37.038092274 -5.61331810599995,-37.039061773 -5.61332135799995,-37.039052434 -5.613185316,-37.039029215 -5.61284711099995,-37.038981178 -5.61214639299999,-37.038960219 -5.61184215999998,-37.038894412 -5.61088364199998,-37.038820007 -5.60979993499996,-37.038765478 -5.60900571099995,-37.038741006 -5.60864928799998,-37.038708272 -5.60817250299999,-37.038694667 -5.607973464,-37.038688949 -5.60789018699995,-37.035021726 -5.60787787999999,-37.035027416 -5.60792492099995,-37.035030965 -5.60797711299995,-37.035040223 -5.60811330299998,-37.035048441 -5.60823415699997,-37.035069845 -5.60854896199999,-37.035101255 -5.60901092399996,-37.035175836 -5.61010783899997,-37.035234049 -5.61096400399998,-37.0352676689999 -5.61145848399997,-37.035294323 -5.61185049299996,-37.037669852 -5.61185797299999,-37.037665478 -5.61316572099997,-37.038092274 -5.61331810599995))
12;5;ASL 12;MVS5;ASL12-MVS5;Polygon ((-37.041088226 -5.53664470699999,-37.040344287 -5.53602227099998,-37.037763764 -5.53866957299999,-37.03787492 -5.53877833799999,-37.038077418 -5.53918947399995,-37.038204965 -5.53954062399998,-37.038427326 -5.53993206599995,-37.039679044 -5.538659392,-37.039957409 -5.53943486899999,-37.04101821 -5.53943837899999,-37.041803768 -5.53863537399997,-37.041086601 -5.53792485399998,-37.041088226 -5.53664470699999))
2;3;ASL 02;MVS3;ASL02-MVS3;Polygon ((-37.03868889 -5.60789018599996,-37.038654997 -5.607396542,-37.038593013 -5.60649372999995,-37.038545017 -5.60579390799995,-37.0385202739999 -5.60543430399997,-37.039167715 -5.60543566599995,-37.039744272 -5.60543708499995,-37.039746917 -5.60464434899995,-37.038503631 -5.60464018399995,-37.038506256 -5.60385409199995,-37.038503309 -5.60362292899998,-37.037488918 -5.60361707599998,-37.036457255 -5.60361361699995,-37.035599119 -5.60361073799999,-37.035300448 -5.60360973599995,-37.034942038 -5.60393250999999,-37.034940796 -5.60430383099998,-37.034180773 -5.60508736899999,-37.034140213 -5.60628594599996,-37.034115594 -5.607013424,-37.034088988 -5.60779956199997,-37.034079338 -5.608084744,-37.034072278 -5.60810447,-37.035027416 -5.60792492099995,-37.035021726 -5.60787787999999,-37.03868889 -5.60789018599996))
12;4;ASL 12;MVS4;ASL12-MVS4;Polygon ((-37.04180381 -5.538635414,-37.042216239 -5.53821386699997,-37.042961182 -5.53745245299996,-37.0440214979999 -5.53636868799998,-37.045574882 -5.53478085299997,-37.046225307 -5.53411603199999,-37.046406018 -5.53393131999997,-37.046415683 -5.53098662099995,-37.045923358 -5.53050489099996,-37.049390196 -5.52694764099999,-37.049331971 -5.52689067399996,-37.045865216 -5.53044801499999,-37.045820007 -5.53040377899998,-37.043638521 -5.532642168,-37.042566216 -5.53374234899997,-37.041796337 -5.53453229499996,-37.041034023 -5.535314476,-37.040344263 -5.53602229299997,-37.041088226 -5.53664470699999,-37.041086601 -5.53792485399998,-37.04180381 -5.538635414))
