idSPE;SPE;WKT
1;ASL 1;Polygon ((-37.05889971 -5.60698573981629,-37.051102386 -5.60133485481646,-37.051085384 -5.60164605681641,-37.051081306 -5.60287615081636,-37.048062354 -5.60286609481643,-37.048053523 -5.60552427281632,-37.041863828 -5.60550305381633,-37.042234 -5.61158299981612,-37.05889971 -5.60698573981629))
2;ASL 2;Polygon ((-37.026371132 -5.60279310181641,-37.026403231 -5.60329027381641,-37.026694001 -5.60779399981624,-37.029346 -5.61037599981613,-37.030217 -5.61129699981611,-37.030041 -5.60894099981622,-37.032298 -5.6084379998162,-37.033546634 -5.6082032818162,-37.033874881 -5.60814157781624,-37.035027 -5.60792499981624,-37.035027431 -5.60792514081626,-37.035083387 -5.60874812881619,-37.035523103 -5.61521536381598,-37.039176106 -5.614986686816,-37.038520279 -5.60543430581632,-37.039744272 -5.60543708481633,-37.039746917 -5.60464434881635,-37.038503631 -5.60464018381633,-37.038503309 -5.60362292881636,-37.035307576 -5.60360975981636,-37.034609314 -5.60361344281636,-37.034611142 -5.60306684881641,-37.034442188 -5.60306628181638,-37.034443013 -5.6028195068164,-37.026371132 -5.60279310181641))
3;ASL 3;Polygon ((-37.041863828 -5.60550305381633,-37.048053523 -5.60552427281632,-37.048062354 -5.60286609481643,-37.051081306 -5.60287615081636,-37.051085384 -5.60164605681641,-37.051102388 -5.60133485681643,-37.047075553 -5.59844598681654,-37.045984964 -5.59737479481658,-37.045984712 -5.59882835881651,-37.038519383 -5.59880540881656,-37.038514076 -5.60039633481651,-37.038164125 -5.60039516281645,-37.038151827 -5.60362090181635,-37.038503811 -5.60362292881635,-37.038503631 -5.60464018381633,-37.039746917 -5.60464434881635,-37.039744272 -5.60543708481633,-37.040808642 -5.60543977481629,-37.040793616 -5.60521409581631,-37.041843441 -5.60521667481633,-37.041860131 -5.60544228581635,-37.041863828 -5.60550305381633))
4;ASL 4;Polygon ((-37.034340531 -5.58810321081685,-37.034340457 -5.58810346881685,-37.034397575 -5.58815318881688,-37.034444174 -5.58819375181687,-37.034514933 -5.58825534681684,-37.03454805 -5.58869156881684,-37.03454911 -5.58870553181687,-37.036049622 -5.58860277681686,-37.036049034 -5.58857435481686,-37.036021649 -5.58725050381691,-37.041200242 -5.59251283181674,-37.041203743 -5.5907936988168,-37.042388085 -5.59079765081679,-37.042392435 -5.58948854081682,-37.047967181 -5.58950746381684,-37.047821 -5.58699499981692,-37.047632076 -5.58382921681703,-37.035162879 -5.5817466388171,-37.034746833 -5.58174634581706,-37.033284371 -5.58171816781709,-37.033475296 -5.58466297781697,-37.03365597 -5.58744971081687,-37.033664775 -5.5875855298169,-37.034066597 -5.58788698781686,-37.034255462 -5.58802867981686,-37.034340531 -5.58810321081685))
5;ASL 5;Polygon ((-37.05124445 -5.60143781481644,-37.05889971 -5.60698573981629,-37.06385833 -5.6056177798163,-37.06371639 -5.60495749981634,-37.06025101 -5.6055453778163,-37.059729172 -5.59609573381663,-37.059727519 -5.59601260681659,-37.058476824 -5.5960299358166,-37.058480519 -5.59490990481666,-37.056838136 -5.59490446481666,-37.05683377 -5.59622659381659,-37.051270861 -5.59620921481661,-37.051254715 -5.60108803881644,-37.05124445 -5.60143781481644))
6;ASL 6;Polygon ((-37.065747955 -5.58871798281683,-37.065616891 -5.58872749581686,-37.064293129 -5.58855903181684,-37.058557261 -5.58799525881692,-37.059821674 -5.58930319881687,-37.059825595 -5.58964732481681,-37.059863358 -5.59001832481683,-37.059885909 -5.59004877981683,-37.061059075 -5.59007381381681,-37.06318619 -5.59012974981684,-37.065066705 -5.59017609681678,-37.065811693 -5.59019419481678,-37.068402061 -5.58963655581684,-37.077250932 -5.58159921681711,-37.081126905 -5.57511479381731,-37.085048685 -5.56752297181754,-37.0859824 -5.56571183381762,-37.087038505 -5.56366800181765,-37.087174992 -5.56340316581768,-37.088149725 -5.56151629581772,-37.087532641 -5.56099223981776,-37.086833781 -5.55969252081778,-37.086404156 -5.55946707981779,-37.085671249 -5.56071766981774,-37.085503943 -5.56113692281774,-37.08528328 -5.56136821081774,-37.083139513 -5.5651955498176,-37.082956978 -5.56555109981761,-37.081058101 -5.56945742581746,-37.079905058 -5.57185796781741,-37.077494491 -5.57678030081723,-37.077241777 -5.57717955781724,-37.074597033 -5.58028693881714,-37.070280343 -5.58535006581697,-37.070107061 -5.58549280181693,-37.067983991 -5.58660053281694,-37.067929841 -5.58662937781691,-37.067673688 -5.58686306781693,-37.066817745 -5.58730002281692,-37.065747955 -5.58871798281683)),((-37.054264107 -5.59069353381683,-37.054245846 -5.59621851481659,-37.05683377 -5.59622659381659,-37.056838136 -5.59490446481666,-37.058480519 -5.59490990481666,-37.058476824 -5.5960299358166,-37.059727519 -5.59601260681659,-37.060452874 -5.59600256281664,-37.060480968 -5.59429619481671,-37.060570244 -5.59319281381673,-37.060382264 -5.59201600481674,-37.060117065 -5.59096705681678,-37.059950385 -5.59063848681677,-37.054264107 -5.59069353381683))
7;ASL 7;Polygon ((-37.034514933 -5.58825534681684,-37.034397575 -5.58815318881688,-37.034340531 -5.58810321081685,-37.034255462 -5.58802867981686,-37.033664775 -5.5875855298169,-37.032551083 -5.58726447381691,-37.032541642 -5.58726175181693,-37.030157833 -5.58657454581694,-37.029979183 -5.5865230438169,-37.028960792 -5.59341761281668,-37.030278341 -5.59342183281667,-37.030273782 -5.59478437681666,-37.0319799 -5.59479010581666,-37.031974674 -5.59747189681656,-37.038523731 -5.59749955981659,-37.038519383 -5.59880540881656,-37.045984388 -5.59882835781652,-37.045984966 -5.59737479681655,-37.036021649 -5.58725050381691,-37.03604451 -5.58835564081687,-37.036049034 -5.58857435481686,-37.036049622 -5.58860277681686,-37.03454911 -5.58870553181687,-37.03454805 -5.58869156881684,-37.034536568 -5.58854032481687,-37.034514933 -5.58825534681684))
8;ASL 8;Polygon ((-37.054245846 -5.59621851481659,-37.054264107 -5.59069353381683,-37.048113052 -5.59075302381678,-37.048039569 -5.59075164681678,-37.047967181 -5.58950746381684,-37.042392435 -5.58948854081682,-37.042388085 -5.59079765081679,-37.041203743 -5.5907936988168,-37.041200242 -5.59251283181674,-37.045984964 -5.59737479481658,-37.047075553 -5.59844598681654,-37.051102386 -5.60133485481646,-37.05124445 -5.60143781481644,-37.051254715 -5.60108803881644,-37.051270861 -5.59620921481661,-37.054245846 -5.59621851481659))
9;ASL 9;Polygon ((-37.038151827 -5.60362090181635,-37.038164125 -5.60039516281645,-37.038514076 -5.60039633481651,-37.038523731 -5.59749955981659,-37.031974674 -5.59747189681656,-37.0319799 -5.59479010581666,-37.030273782 -5.59478437681666,-37.030278341 -5.59342183281667,-37.028960792 -5.59341761281668,-37.029979183 -5.5865230438169,-37.028341688 -5.58605097781695,-37.027697 -5.57684599981723,-37.026843 -5.57731699981722,-37.027485627 -5.58580418481693,-37.026821776 -5.58561280281696,-37.025741485 -5.59310330481671,-37.02597 -5.59657999981662,-37.026371132 -5.60279310181641,-37.034443013 -5.6028195068164,-37.034442188 -5.60306628181638,-37.034611142 -5.60306684881641,-37.034609314 -5.60361344281636,-37.038151827 -5.60362090181635))
10;ASL 10;Polygon ((-37.038736332 -5.52329924981895,-37.05396556 -5.50827916981944,-37.053316448 -5.50753545681949,-37.05123806 -5.50515416981959,-37.05099944 -5.50491832981957,-37.0507375 -5.50469999981959,-37.04634944 -5.50116138981968,-37.04619694 -5.5010349998197,-37.04477639 -5.49988943981974,-37.04359889 -5.50104721981966,-37.04243361 -5.50075416981969,-37.04049056 -5.50026221981973,-37.03889139 -5.49986943981972,-37.03849389 -5.49965027981977,-37.03757667 -5.49911388981976,-37.036978926 -5.49974297781972,-37.036618839 -5.50597170881952,-37.036966379 -5.50597602881954,-37.040855616 -5.50598725881952,-37.041513269 -5.5065791668195,-37.037370117 -5.5128656218193,-37.036585996 -5.51405535281927,-37.036437328 -5.51425946281923,-37.035905293 -5.51508816381926,-37.03487106 -5.51665736781917,-37.032042807 -5.52084381581908,-37.035072368 -5.52691873881884,-37.036179399 -5.52582101681889,-37.036012464 -5.52994665481876,-37.036389019 -5.5295677548188,-37.036555638 -5.52544987881891,-37.038736332 -5.52329924981895))
11;ASL 11;Polygon ((-37.014571667 -5.52301360981902,-37.01236861 -5.52909749981877,-37.012523328 -5.52917903881876,-37.01336111 -5.5296205598188,-37.01356361 -5.52980332981877,-37.01574722 -5.53067527981876,-37.01743556 -5.53089888981872,-37.0174875 -5.53105443981871,-37.01753361 -5.53135527981873,-37.01756306 -5.53190055981869,-37.01772111 -5.53222693981867,-37.017925 -5.53276832981867,-37.01817972 -5.53308027981864,-37.01832333 -5.53318277981865,-37.018672756 -5.53333488381864,-37.020901355 -5.53093683481871,-37.024565305 -5.5283279238188,-37.026964851 -5.52864461081881,-37.03075924 -5.52274386081897,-37.014571667 -5.52301360981902)),((-37.010724584 -5.53359767681863,-37.011699034 -5.53459044681864,-37.012879055 -5.5352495318186,-37.013966976 -5.53545387681859,-37.014577133 -5.53548553581858,-37.014988701 -5.5353387528186,-37.016027695 -5.53486386681861,-37.01627361 -5.53421693981865,-37.01701639 -5.53404749981861,-37.017692778 -5.53436500281861,-37.018638949 -5.53337126081864,-37.0182675 -5.53320778081864,-37.01807528 -5.53305277981864,-37.01787639 -5.53278749981865,-37.01767222 -5.53224999981865,-37.01749833 -5.53191193981867,-37.01747583 -5.53135721981872,-37.01736917 -5.53102888981873,-37.01573444 -5.53074082981874,-37.01352722 -5.52986416981876,-37.01333444 -5.52966777981877,-37.01232056 -5.52918833081877,-37.010724584 -5.53359767681863))
12;ASL 12;Polygon ((-37.035271053 -5.53069267581874,-37.034826599 -5.5311398928187,-37.02951194 -5.53648750081855,-37.03404389 -5.53688221981851,-37.035616454 -5.53526938781859,-37.035528676 -5.5374383078185,-37.033783603 -5.53863401781845,-37.031672471 -5.54251711781833,-37.032601449 -5.55704496381789,-37.034944377 -5.56032669781776,-37.035191838 -5.56403268181765,-37.035941645 -5.56383597281765,-37.035638218 -5.5600553408178,-37.033308664 -5.55679234981793,-37.032406206 -5.54267951981832,-37.034334437 -5.53913283381845,-37.036235272 -5.5378304018185,-37.036269117 -5.5369939908185,-37.037693958 -5.53640121281852,-37.03887318 -5.5375316998185,-37.03773003 -5.53870461981845,-37.038427368 -5.53993210681846,-37.039644444 -5.54084249981838,-37.071048056 -5.50874194481944,-37.069826661 -5.50799806081949,-37.069770083 -5.50796358081948,-37.068868775 -5.50741452881952,-37.0694456 -5.50666632381949,-37.069041357 -5.50641764081951,-37.068468241 -5.50716296381947,-37.038936227 -5.53746701181849,-37.037713768 -5.53629507481855,-37.036181294 -5.53693263281853,-37.036255437 -5.5351002668186,-37.036275963 -5.53459298581861,-37.036174572 -5.5313160178187,-37.035271053 -5.53069267581874)),((-37.029376029 -5.53660685581853,-37.022580972 -5.54342025381832,-37.022632933 -5.54366221581828,-37.022889083 -5.54371977781832,-37.023752513 -5.5437946078183,-37.024742579 -5.5435039198183,-37.026302509 -5.54333411181835,-37.027439359 -5.54381475481833,-37.027571751 -5.54377158381832,-37.027695509 -5.54374280181832,-37.027935231 -5.54359779281832,-37.028112696 -5.54327021081832,-37.028512945 -5.54281417881835,-37.028901258 -5.54221573381839,-37.029079287 -5.54208873881837,-37.029122865 -5.5420276928184,-37.033939029 -5.53698223481851,-37.029376029 -5.53660685581853))
